,Index,Computing machine,NumberOfFeatures,NumberOfInstances,aml60train,aml60test,aml600train,aml600test,aml1200train,aml1200test,h2o60train,h2o60test,h2o600train,h2o600test,h2o1200train,h2o1200test,tpot60train,tpot60test,tpot600train,tpot600test,tpot1200train,tpot1200test,ag60train,ag60test,ag600train,ag600test,ag1200train,ag1200test,aml60algo,aml600algo,aml1200algo,h2o60algo,h2o600algo,h2o1200algo,tpot60algo,tpot600algo,tpot1200algo,ag60algo,ag600algo,ag1200algo
58,765,Desktop,4,475,0.9783,0.931,0.9783,0.931,0.9783,0.931,0.9757,0.9251,0.9903,0.947,0.9996,0.9596,0.9933,0.9621,0.989,0.955,0.9951,0.9537,0.9344,0.9057,0.9344,0.9057,0.9344,0.9057,gradient_boosting,gradient_boosting,gradient_boosting,GBM,GBM,GBM,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
59,790,Desktop,3,55,0.9601,0.8958,0.9601,0.8958,0.9601,0.8958,0.9976,0.8958,0.9855,0.8958,0.9988,0.9167,0.9843,0.9583,0.9988,0.9167,0.9988,0.9167,1.0,0.9167,1.0,0.9167,1.0,0.9167,xgboost_gbtree,xgboost_gbtree,xgboost_gbtree,GBM,GBM,GBM,LogisticRegression,RandomForestClassifier,RandomForestClassifier,CatBoost,CatBoost,CatBoost
60,795,Desktop,4,662,0.515,0.5015,0.5213,0.4995,0.5213,0.4995,0.9585,0.5097,0.7216,0.5234,0.5529,0.5767,0.5942,0.4647,0.7419,0.5166,0.7419,0.5166,0.632,0.4597,0.632,0.4597,0.632,0.4597,xgboost_gbtree,logistic_regression,logistic_regression,GBM,DeepLearning,DeepLearning,GradientBoostingClassifier,XGBClassifier,XGBClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
61,865,Desktop,3,100,0.6932,0.3542,0.6932,0.3542,0.6932,0.3542,0.5,0.5,0.7367,0.3542,0.814,0.0208,0.8213,0.3542,0.814,0.3542,0.814,0.3542,0.9286,0.3958,0.9286,0.3958,0.9286,0.3958,mlp,mlp,mlp,XGBoost,DeepLearning,DeepLearning,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,CatBoost,CatBoost,CatBoost
62,864,Desktop,8,60,0.7123,0.6852,0.7341,0.8889,0.7341,0.8889,0.9246,0.8519,0.7758,0.8889,0.8333,0.8889,1.0,0.3704,0.9058,0.3333,0.9058,0.3333,0.85,0.7593,0.85,0.5926,0.85,0.7593,mlp,logistic_regression,logistic_regression,DeepLearning,DeepLearning,DeepLearning,GradientBoostingClassifier,GradientBoostingClassifier,GradientBoostingClassifier,LightGBMLarge,XGBoost,LightGBMLarge
63,867,Desktop,3,130,0.8188,0.858,0.8188,0.858,0.8188,0.858,0.9389,0.9198,0.9642,0.9074,0.9518,0.9074,0.9393,0.8642,0.9507,0.8889,0.9426,0.8827,0.8906,0.821,0.8906,0.821,0.8906,0.821,xgboost_gbtree,xgboost_gbtree,xgboost_gbtree,XGBoost,GBM,GBM,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
64,899,Desktop,6,92,0.9446,0.9077,0.9446,0.9077,0.9446,0.9077,0.9682,0.7462,0.9104,0.9462,0.8703,0.8231,0.9752,0.8885,0.9882,0.8615,0.9788,0.8577,1.0,0.8923,1.0,0.8923,1.0,0.8923,logistic_regression,logistic_regression,logistic_regression,DeepLearning,DeepLearning,DeepLearning,RandomForestClassifier,RandomForestClassifier,RandomForestClassifier,LightGBMXT,LightGBMXT,LightGBMXT
65,905,Desktop,3,39,0.7778,1.0,0.7778,1.0,0.7778,1.0,0.7694,0.7857,0.9222,0.7857,0.9389,1.0,0.95,1.0,0.9583,0.9762,0.9583,0.9762,0.875,0.9524,0.875,0.9524,0.875,0.9524,logistic_regression,logistic_regression,logistic_regression,GBM,GBM,DeepLearning,GaussianNB,RandomForestClassifier,RandomForestClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
66,900,Desktop,7,400,0.5454,0.516,0.5454,0.516,0.5454,0.516,0.7804,0.5473,0.7948,0.5442,0.9846,0.5697,0.9784,0.4673,0.9224,0.4092,0.9224,0.4092,0.6742,0.476,0.6742,0.476,0.6742,0.476,gradient_boosting,gradient_boosting,gradient_boosting,DeepLearning,DeepLearning,DeepLearning,RandomForestClassifier,GradientBoostingClassifier,GradientBoostingClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
67,942,Desktop,4,50,0.7135,0.5119,0.7135,0.5119,0.7135,0.5119,0.5234,0.3571,0.4532,0.381,0.9327,0.5952,0.9401,0.4643,0.9064,0.5,0.7105,0.4405,0.875,0.5476,0.875,0.5476,0.875,0.5476,ada_boost,ada_boost,ada_boost,DeepLearning,DeepLearning,GBM,RandomForestClassifier,RandomForestClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
68,944,Desktop,10,130,0.8297,0.7981,0.8297,0.7981,0.8297,0.7981,0.994,0.7481,0.9996,0.7815,0.9757,0.7778,0.8887,0.8093,0.9039,0.7778,0.9039,0.7778,0.899,0.7963,0.899,0.7963,0.899,0.7963,extra_trees,extra_trees,extra_trees,GBM,XGBoost,GBM,ExtraTreesClassifier,ExtraTreesClassifier,ExtraTreesClassifier,WeightedEnsemble_L2,WeightedEnsemble_L2,WeightedEnsemble_L2
69,945,Desktop,7,76,0.8858,0.8846,0.8858,0.8846,0.8858,0.8846,0.9531,0.859,0.9204,0.7115,0.9389,0.7628,0.9938,0.8333,1.0,0.8205,1.0,0.9359,1.0,0.8077,1.0,0.8077,1.0,0.8077,random_forest,random_forest,random_forest,XGBoost,GBM,GBM,RandomForestClassifier,GradientBoostingClassifier,GradientBoostingClassifier,CatBoost,CatBoost,CatBoost
